step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,haptic-khipu-khipu,0.5,0.5,1,,What are khipus?,"Khipus are record-keeping devices created from knotted cords, used by Andean societies in South America and most famously, the Inca Empire.",,,,,,,,
2,haptic-khipu-khipu,0.4540809410790312,0.39361389914456485,3.5831807999999996,,How do khipus work?,"Khipus categorize information based on color, order, and number. Officials called quipucamayocs specifically studied and created these objects, using a decimal positional system.",,,,,,,,
3,haptic-khipu-khipu,0.6600655499803225,0.353436124862486,1.5,,What was their use in Andean society?,"Khipus had many different record-keeping uses, including: monitoring tax, creating census records, calendaring information, and military organization.",,,,,,,,
4,nuevacoronicaybuengobierno1936facsimilep360,0.5145550472255016,0.6030837458745871,1,,Numeric vs. Non-numeric Usage,"There is debate about a link to phonetic language through the khipus. While we have clear evidence about the numeric use, some scholars argue it is a writing system as well.",,Learn more about the debate!,khipu-nonnumeric-usage-debate.md,,,,,
5,nuevacoronicaybuengobierno1936facsimilep360,0.484782815633552,0.5525787554773541,1.0706931683168321,,How are khipus used contemporarily?,"Today, khipus remain important heritage symbols and less of a mathematical tool. They are used in ceremonies to honor communal patrimony and past traditions of Andean cultures. There are a few examples of contemporary use, including Tupicocha, Peru, a village where khipus are still used for government record-keeping.",,,,,,,,
